misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,707,-13.358663891566266,1.4181139707565307,-0.006174234082573093,10.32985954284668
40,14760,712,-9.88326204,1.417826199531555,-0.01155451238155365,14.39686450958252
60,21960,713,-10.39151975,1.416186237335205,-0.0038961015641689302,11.878055381774903
80,29160,679,-7.874131190000001,1.414411234855652,-0.012790723890066146,0.41205117404460906
100,36360,678,-5.95194231,1.4133476138114929,-0.0032477248460054398,3.6532259196043015
120,43560,678,-8.285872919999997,1.4138585090637208,-0.0003203995060175657,7.3990678787231445
140,50760,679,-8.025734960000001,1.4127139568328857,-0.002276279032230377,10.445600318908692
160,57960,682,-4.88551355,1.4125776171684266,-0.006047522276639938,14.337934398651123
180,65160,682,-4.527181120000002,1.4122456431388855,-0.014387120096944272,0.7962554365396499
200,72360,685,-3.97623764,1.4106701254844665,-0.00019004754722118378,4.925617909431457
220,79560,686,-6.554427980000002,1.4098899364471436,-0.0008460670709609985,4.528955307602883
240,86760,659,-9.586580249999999,1.4099909305572509,-0.005711289658211172,6.830296498537064
260,93960,658,-8.430859049999999,1.4091938734054565,-0.0033115774393081667,3.667229598760605
280,101160,660,-5.971446789999999,1.4083317637443542,-0.006647891364991665,2.5757126927375795
300,108360,662,-9.19433268,1.4079727530479431,-0.003997334092855453,12.058689880371094
320,115560,663,-7.12825139,1.4082528948783875,-0.00028483346104621885,8.34317866563797
340,122760,665,-7.23281828,1.407595455646515,0.006339881126768887,9.217351365089417
360,129960,667,-5.377676319999999,1.407510018348694,-0.002085713669657707,5.746175611019135
380,137160,667,-7.096571999999998,1.4067014694213866,0.004520580172538757,7.431485831737518
400,144360,667,-11.022352789999998,1.4055692672729492,-0.004432824859395623,4.429850149154663
420,151560,666,-9.8004883,1.405030119419098,-0.0083778977394104,8.243806850910186
440,158760,666,-8.57612957,1.4044501423835754,-0.006465240567922592,5.645414094626903
460,165960,666,-7.55160586,1.405233871936798,-0.004672163538634777,4.2134480476379395
480,173160,667,-7.78514328,1.4045244812965394,-0.003926052898168564,4.529220977425576
500,180360,665,-7.618888799999999,1.4043063402175904,-0.0056573536247015,7.28034541606903
520,187560,665,-10.01501897,1.404350996017456,-0.0006131470203399658,3.473372519016266
540,194760,663,-9.439747490000002,1.4037081837654113,0.003910556063055992,10.630315947532655
560,201960,663,-8.10224613,1.4025603532791138,-0.003201200196053833,0.5296694815158844
580,209160,662,-6.0125078799999985,1.401961886882782,-0.0007043052464723587,4.299572736024857
600,216360,662,-5.85155127,1.4017014026641845,0.001320464164018631,9.104084539413453
620,223560,661,-6.097209449999999,1.4009934067726135,0.0002629365772008896,12.162192130088807
640,230760,661,-7.798150870000001,1.4006271004676818,-0.0004648376256227493,10.406159925460816
660,237960,662,-3.4585524699999994,1.3998963713645936,-0.00024135373532772065,7.194287967681885
680,245160,663,-5.152512959999999,1.3987450361251832,-0.0026540184393525124,8.064308780431748
700,252360,664,-2.0174824500000006,1.3975802779197692,-0.005951270170044154,1.8919679671525955
720,259560,664,-3.6941589400000003,1.3968126773834229,-0.004622661508619785,0.9823157817125321
740,266760,665,-2.63606782,1.3953460216522218,0.0005849435925483704,5.202681076526642
760,273960,663,0.04762779000000003,1.3949931025505067,-0.008781430125236512,0.6039838343858719
780,281160,662,-1.7862599599999998,1.3952767848968506,0.001748229283839464,10.640506792068482
